,tweet_tokenized
0,"['in', 'the', 'wake', 'of', 'a', 'score', 'of', 'cancelled', 'performances', 'due', 'to', 'covid', 'concerns', 'many', 'theatergoers', 'and', 'theater', 'makers', 'are', 'looking', 'at', 'an', 'uncertain', 'future', 'broadway', 'theater', 'covid', 'entertainment']"
1,"['yes', 'it', 'is', 'the', 'thing', 'is', 'dems', 'are', 'not', 'going', 'to', 'vote', 'republican', 'in', 'mid', 'terms', 'no', 'matter', 'how', 'awful', 'biden', 'is', 'i', 'don', 't', 'even', 'know', 'if', 'liberal', 'leaning', 'independents', 'will', 'i', 'feel', 'like', 'we', 're', 'being', 'thrown', 'to', 'the', 'wolves', 'on', 'covid', 'at', 'least', 'i', 'feel', 'like', 'the', 'trump', 'administration', 'tried']"
2,"['so', 'you', 're', 'say', 'trump', 'is', 'healthier', 'than', 'the', 's', 'of', 's', 'that', 'died', 'from', 'covid']"
3,"['bring', 'back', 'covid', 'saliva', 'tests']"
4,"['highest', 'single', 'day', 'spike', 'in', 'delhi', 'again', 'covid', 'omicron', 'omicronindia', 'omicronvariant', 'delmicron', 'delhifightscorona']"
5,"['it', 'isn', 't', 'and', 'you', 'already', 'know', 'it', 'isn', 't', 'the', 'government', 'is', 'putting', 'public', 'health', 'at', 'risk', 'the', 'wait', 'and', 'see', 'what', 'the', 'impact', 'on', 'hospitalisations', 'bollocks', 'is', 'a', 'smokescreen', 'hospitalizations', 'are', 'already', 'through', 'the', 'roof', 'an', 'inconvenient', 'truth', 'covid']"
6,"['newest', 'conspiracy', 'bullshit', 'healthy', 'children', 'don', 't', 'need', 'vaccine', 'because', 'only', 'those', 'with', 'preexisting', 'conditions', 'die', 'of', 'covid', 'not', 'a', 'single', 'healthy', 'child', 'has', 'ever', 'died', 'of', 'covid', 'this', 'is', 'complete', 'bullshit', 'covid', 'antivaxxers', 'conspiracytheories']"
7,"['omicron', 'is', 'extremely', 'transmissible', 'so', 'the', 'likelihood', 'of', 'testing', 'positive', 'can', 'always', 'be', 'there', 'up', 'until', 'days', 'after', 'initial', 'exposure', 'which', 'is', 'why', 'health', 'care', 'providers', 'push', 'masking', 'and', 'social', 'distancing', 'said', 'dr', 'sindhu', 'aderson', 'northwestern', 'medicine', 'immediate', 'care', 'covid']"
8,"['ghs', 'begins', 'investigation', 'into', 'beenie', 'man', 'breaking', 'covid', 'protocol', 'after', 'he', 'allegedly', 'tested', 'positive', 'covid', 'joynews']"
9,"['vaccines', 'save', 'lives', 'smallpox', 'rabies', 'tetanus', 'typhoid', 'fever', 'tb', 'diphtheria', 'whooping', 'cough', 'yellow', 'fever', 'flu', 'polio', 'measles', 'mumps', 'rubella', 'chickenpox', 'covid', 'getvaccinated', 'u', 'wearamask']"
